code,id,uta,uta1
010,00001,みよしのは−やまもかすみて−しらゆきの−ふりにしさとに−はるはきにけり,はるたつと−いふはかりにや−みよしのの−やまもかすみて−けさはみゆらむ
010,00002,ほのほのと−はるこそそらに−きにけらし−あまのかくやま−かすみたなひく,ひさかたの−あまのかくやま−このゆふへ−かすみたなひく−はるたつらしも
010,00005,けふといへは−もろこしまても−ゆくはるを−みやこにのみと−おもひけるかな,はるかなる−もろこしまても−ゆくものは−あきのねさめの−こころなりけり
010,00013,わかなつむ−そてとそみゆる−かすかのの−とふひののへの−ゆきのむらきえ,かすかのの−わかなつみにや−しろたへの−そてふりはへて−ひとのゆくらむ
010,00015,さはにおふる−わかなならねと−いたつらに−としをつむにも−そてはぬれけり,はるののの−わかなならねと−きみかため−としのかすをも−つまむとそおもふ
010,00017,たにかはの−うちいつるなみも−こゑたてつ−うくひすさそへ−はるのやまかせ,たにかせに−とくるこほりの−ひまことに−うちいつるなみや−はるのはつはな
010,00017,たにかはの−うちいつるなみも−こゑたてつ−うくひすさそへ−はるのやまかせ,はなのかを−かせのたよりに−たくへてそ−うくひすさそふ−しるへにはやる
010,00018,うくひすの−なけともいまた−ふるゆきに−すきのはしろき−あふさかのやま,うめかえに−きゐるうくひす−はるかけて−なけともいまた−ゆきはふりつつ
010,00019,はるきては−はなともみよと−かたをかの−まつのうははに−あはゆきそふる,はるたては−はなとやみらむ−しらゆきの−かかれるえたに−うくひすそなく
010,00025,みしまえや−しももまたひぬ−あしのはに−つのくむほとの−はるかせそふく,みしまえに−つのくみわたる−あしのねの−ひとよのほとに−はるめきにけり
010,00026,ゆふつくよ−しほみちくらし−なにはえの−あしのわかはに−こゆるしらなみ,はなならて−をらまほしきは−なにはえの−あしのわかはに−ふれるしらゆき
010,00028,うめかえに−ものうきほとに−ちるゆきを−はなともいはし−はるのなたてに,うめかえに−ふりおけるゆきを−はるちかみ−めのうちつけに−はなかとそみる
010,00031,うくひすの−なみたのつらら−うちとけて−ふるすなからや−はるをしるらむ,ゆきのうちに−はるはきにけり−うくひすの−こほれるなみた−いまやとくらむ
010,00037,かすみたつ−すゑのまつやま−ほのほのと−なみにはなるる−よこくものそら,きみをおきて−あたしこころを−わかもたは−すゑのまつやま−なみもこえなむ
010,00038,はるのよの−ゆめのうきはし−とたえして−みねにわかるる−よこくものそら,かせふけは−みねにわかるる−しらくもの−たえてつれなき−きみかこころか
010,00039,しるらめや−かすみのそらを−なかめつつ−はなもにほはぬ−はるをなけくと,はるたてと−はなもにほはぬ−やまさとは−ものうかるねに−うくひすそなく
010,00040,おほそらは−うめのにほひに−かすみつつ−くもりもはてぬ−はるのよのつき,てりもせす−くもりもはてぬ−はるのよの−おほろつきよに−しくものそなき
010,00046,うめのはな−たかそてふれし−にほひそと−はるやむかしの−つきにとははや,いろよりも−かこそあはれと−おもほゆれ−たかそてふれし−やとのうめそも
010,00047,うめのはな−あかぬいろかも−むかしにて−おなしかたみの−はるのよのつき,よそにのみ−あはれとそみし−うめのはな−あかぬいろかは−をりてなりけり
010,00049,はることに−こころをしむる−はなのえに−たかなほさりの−そてかふれつる,いろよりも−かこそあはれと−おもほゆれ−たかそてふれし−やとのうめそも
010,00053,ちりぬれは−にほひはかりを−うめのはな−ありとやそてに−はるかせのふく,をりつれは−そてこそにほへ−うめのはな−ありとやここに−うくひすのなく
010,00054,ひとりのみ−なかめてちりぬ−うめのはな−しるはかりなる−ひとはとひこす,きみならて−たれにかみせむ−うめのはな−いろをもかをも−しるひとそしる
010,00058,いまはとて−たのむのかりも−うちわひぬ−おほろつきよの−あけほののそら,はるくれは−たのむのかりも−いまはとて−かへるくもちに−おもひたつなり
010,00059,きくひとそ−なみたはおつる−かへるかり−なきてゆくなる−あけほののそら,なきわたる−かりのなみたや−おちつらむ−ものおもふやとの−はきのうへのつゆ
010,00070,みよしのの−おほかはのへの−ふるやなき−かけこそみえね−はるめきにけり,みよしのの−おほかはのへの−ふちなみの−なみにおもはは−わかこひめやは
010,00071,あらしふく−きしのやなきの−いなむしろ−おりしくなみに−まかせてそみる,日本書紀
010,00073,はるかせの−かすみふきとく−たえまより−みたれてなひく−あをやきのいと,あさみとり−みたれてなひく−あをやきの−いろにそはるの−かせもみえける
010,00075,あをやきの−いとにたまぬく−しらつゆの−しらすいくよの−はるかへぬらむ,あさみとり−いとよりかけて−しらつゆを−たまにもぬける−はるのやなきか
010,00075,あをやきの−いとにたまぬく−しらつゆの−しらすいくよの−はるかへぬらむ,あをやきの−みとりのいとを−くりかへし−いくらはかりの−はるをへぬらむ
010,00082,おもふとち−そこともしらす−ゆきくれぬ−はなのやとかせ−のへのうくひす,おもふとち−はるのやまへに−うちむれて−そこともいはぬ−たひねしてしか
010,00087,かつらきや−たかまのさくら−さきにけり−たつたのおくに−かかるしらくも,さくらはな−さきにけらしな−あしひきの−やまのかひより−みゆるしらくも
010,00087,かつらきや−たかまのさくら−さきにけり−たつたのおくに−かかるしらくも,よそにのみ−みてややみなむ−かつらきの−たかまのやまの−みねのしらくも
010,00090,しらくもの−たつたのやまの−やへさくら−いつれをはなと−わきてをりけむ,ゆきふれは−きことにはなそ−さきにける−いつれをうめと−わきてをらまし
010,00091,しらくもの−はるはかさねて−たつたやま−をくらのみねに−はなにほふらし,しらくもの−たつたのやまの−たきのうへの−をくらのみねに−さきををる−さくらのはなは−やまたかみ−かせしやまねは−はるさめの−つきてしふれは−ほつえは−ちりすきにけり−しつえに−のこれるはなは−しましくは−ちりなみたれそ−くさまくら−たひゆくきみか−かへりくるまて
010,00092,よしのやま−はなやさかりに−にほふらむ−ふるさとさえぬ−みねのしらゆき,みよしのの−やまのしらゆき−つもるらし−ふるさとさむく−なりまさるなり
010,00093,いはねふみ−かさなるやまを−わけすてて−はなもいくへの−あとのしらくも,いはねふみ−かさなるやまは−なけれとも−あはぬひかすを−こひやわたらむ
010,00095,ちりちらす−ひともたつねぬ−ふるさとの−つゆけきはなに−はるかせそふく,ちりちらす−きかまほしきを−ふるさとの−はなみてかへる−ひともあはなむ
010,00096,いそのかみ−ふるののさくら−たれうゑて−はるはわすれぬ−かたみなるらむ,いそのかみ−ふるのやまへの−さくらはな−うゑけむときを−しるひとそなき
010,00097,はなそみる−みちのしはくさ−ふみわけて−よしののみやの−はるのあけほの,たちかはり−ふるきみやこと−なりぬれは−みちのしはくさ−なかくおひにけり
010,00098,あさひかけ−にほへるやまの−さくらはな−つれなくきえぬ−ゆきかとそみる,あさひかけ−にほへるやまに−てるつきの−あかさるきみを−やまこしにおきて
010,00099,さくらさく−とほやまとりの−したりをの−なかなかしひも−あかぬいろかな,あしひきの−やまとりのをの−したりをの−なかなかしよを−ひとりかもねむ
010,00100,いくとせの−はるにこころを−つくしきぬ−あはれとおもへ−みよしののはな,もろともに−あはれとおもへ−やまさくら−はなよりほかに−しるひともなし
010,00102,しらくもの−たなひくやまの−やへさくら−いつれをはなと−ゆきてをらまし,ゆきふれは−きことにはなそ−さきにける−いつれをうめと−わきてをらまし
010,00113,このほとは−しるもしらぬも−たまほこの−ゆきかふそては−はなのかそする,これやこの−ゆくもとまるも−わかれては−しるもしらぬも−あふさかのせき
010,00113,このほとは−しるもしらぬも−たまほこの−ゆきかふそては−はなのかそする,あめふれは−かさとりやまの−もみちはは−ゆきかふひとの−そてさへそてる
010,00115,ちりちらす−おほつかなきは−はるかすみ−たなひくやまの−さくらなりけり,ちりちらす−きかまほしきを−ふるさとの−はなみてかへる−ひともあはなむ
010,00119,はるさめの−そほふるそらの−をやみせす−おつるなみたに−はなそちりける,はるさめの−ふるはなみたか−さくらはな−ちるををしまぬ−ひとしなけれは
010,00121,ときしもあれ−たのむのかりの−わかれさへ−はなちるころの−みよしののさと,みよしのの−たのむのかりも−ひたふるに−きみかかたにそ−よるとなくなる
010,00124,ふもとまて−をのへのさくら−ちりこすは−たなひくくもと−みてやすきまし,くれなゐの−うすはなさくら−にほはすは−みなしらくもと−みてやすきまし
010,00128,はなさそふ−ひらのやまかせ−ふきにけり−こきゆくふねの−あとみゆるまて,よのなかを−なににたとへむ−あさほらけ−こきゆくふねの−あとのしらなみ
010,00131,やまたかみ−いはねのさくら−ちるときは−あまのはころも−なつるとそみる,きみかよは−あまのはころも−まれにきて−なつともつきぬ−いはほならなむ
010,00134,さくらいろの−にはのはるかせ−あともなし−とははそひとの−ゆきとたにみむ,けふこすは−あすはゆきとそ−ふりなまし−きえすはありとも−はなとみましや
010,00135,けふたにも−にはをさかりと−うつるはな−きえすはありとも−ゆきかともみよ,けふこすは−あすはゆきとそ−ふりなまし−きえすはありとも−はなとみましや
010,00135,けふたにも−にはをさかりと−うつるはな−きえすはありとも−ゆきかともみよ,けさみれは−よはのあらしに−ちりはてて−にはこそはなの−さかりなりけれ
010,00136,さそはれぬ−ひとのためとや−のこりけむ−あすよりさきの−はなのしらゆき,けふこすは−あすはゆきとそ−ふりなまし−きえすはありとも−はなとみましや
010,00137,やへにほふ−のきはのさくら−うつろひぬ−かせよりさきに−とふひともかな,みやひとに−ゆきてかたらむ−やまさくら−かせよりさきに−きてもみるへく
010,00139,さくらはな−ゆめかうつつか−しらくもの−たえてつねなき−みねのはるかせ,よのなかは−ゆめかうつつか−うつつとも−ゆめともしらす−ありてなけれは
010,00139,さくらはな−ゆめかうつつか−しらくもの−たえてつねなき−みねのはるかせ,かせふけは−みねにわかるる−しらくもの−たえてつれなき−きみかこころか
010,00140,うらみすや−うきよをはなの−いとひつつ−さそふかせあらはと−おもひけるをは,わひぬれは−みをうきくさの−ねをたえて−さそふみつあらは−いなむとそおもふ
010,00144,ちるはなの−わすれかたみの−みねのくも−そをたにのこせ−はるのやまかせ,あかてこそ−おもはむなかは−はなれなめ−そをたにのちの−わすれかたみに
010,01980,いかにせむ−よにふるなかめ−しはのとに−うつろふはなの−はるのくれかた,はなのいろは−うつりにけりな−いたつらに−わかみよにふる−なかめせしまに
010,00149,はなはちり−そのいろとなく−なかむれは−むなしきそらに−はるさめそふる,くれかたき−なつのひくらし−なかむれは−そのこととなく−ものそかなしき
010,00150,たかたにか−あすはのこさむ−やまさくら−こほれてにほへ−けふのかたみに,あさみとり−のへのかすみは−つつめとも−こほれてにほふ−はなさくらかな
010,00152,はななかす−せをもみるへき−みかつきの−われていりぬる−やまのをちかた,よひのまに−いてていりぬる−みかつきの−われてものおもふ−ころにもあるかな
010,00156,はるふかく−たつねいるさの−やまのはに−ほのみしくもの−いろそのこれる,あつさゆみ−いるさのやまに−まとふかな−ほのみしつきの−かけやみゆると
010,00158,よしのかは−きしのやまふき−さきにけり−みねのさくらは−ちりはてぬらむ,よしのかは−きしのやまふき−ふくかせに−そこのかけさへ−うつろひにけり
010,00159,こまとめて−なほみつかはむ−やまふきの−はなのつゆそふ−ゐてのたまかは,ささのくま−ひのくまかはに−こまとめて−しはしみつかへ−かけをたにみむ
010,00162,あしひきの−やまふきのはな−ちりにけり−ゐてのかはつは−いまやなくらむ,かはつなく−ゐてのやまふき−ちりにけり−はなのさかりに−あはましものを
010,00164,まとゐして−みれともあかぬ−ふちなみの−たたまくをしき−けふにもあるかな,おもふとち−まとゐせるよは−からにしき−たたまくをしき−ものにそありける
010,00167,ちりのこる−はなもやあると−うちむれて−みやまかくれを−たつねてしかな,ふくかせと−たにのみつとし−なかりせは−みやまかくれの−はなをみましや
010,00168,このもとの−すみかもいまは−あれぬへし−はるしくれなは−たれかとひこむ,このもとを−すみかとすれは−おのつから−はなみるひとと−なりぬへきかな
010,00169,くれてゆく−はるのみなとは−しらねとも−かすみにおつる−うちのしはふね,としことに−もみちはなかす−たつたかは−みなとやあきの−とまりなるらむ
010,00169,くれてゆく−はるのみなとは−しらねとも−かすみにおつる−うちのしはふね,はなはねに−とりはふるすに−かへるなり−はるのとまりを−しるひとそなき
010,00171,いそのかみ−ふるのわさたを−うちかへし−うらみかねたる−はるのくれかな,うちかへし−きみそこひしき−やまとなる−ふるのわさたの−おもひいてつつ
010,00177,ちりはてて−はなのかけなき−このもとに−たつことやすき−なつころもかな,けふのみと−はるをおもはぬ−ときたにも−たつことやすき−はなのかけかは
010,00179,をりふしも−うつれはかへつ−よのなかの−ひとのこころの−はなそめのそて,いろみえて−うつろふものは−よのなかの−ひとのこころの−はなにそありける
010,00181,うのはなの−さきぬるときは−しろたへの−なみもてゆへる−かきねとそみる,わたつうみの−かさしにさせる−しろたへの−なみもてゆへる−あはちしまやま
010,00184,のへはいまた−あさかのぬまに−かるくさの−かつみるままに−しけるころかな,みちのくの−あさかのぬまの−はなかつみ−かつみるひとに−こひやわたらむ
010,00185,さくらあさの−をふのしたくさ−しけれたた−あかてわかれし−はなのななれは,おほあらきの−もりのしたくさ−おいぬれは−こまもすさへす−かるひともなし#上の句が異なる
010,00191,ほとときす−こゑまつほとは−かたをかの−もりのしつくに−たちやぬれまし,あしひきの−やまのしつくに−いもまつと−われたちぬれぬ−やまのしつくに
010,00192,ほとときす−みやまいつなる−はつこゑを−いつれのやとの−たれかきくらむ,ほのかにそ−なきわたるなる−ほとときす−みやまをいつる−けさのはつこゑ
010,00200,うのはなの−かきねならねと−ほとときす−つきのかつらの−かけになくなり,うのはなの−にほふさつきの−つききよみ−いねすきけとや−なくほとときす
010,00201,むかしおもふ−くさのいほりの−よるのあめに−なみたなそへそ−やまほとときす,さみたれに−ものおもひをれは−ほとときす−よふかくなきて−いつちゆくらむ
010,00207,ほとときす−なほひとこゑは−おもひいてよ−おいそのもりの−よはのむかしを,あつまちの−おもひいてにせむ−ほとときす−おいそのもりの−よはのひとこゑ
010,00209,ありあけの−つれなくみえし−つきはいてぬ−やまほとときす−まつよなからに,ありあけの−つれなくみえし−わかれより−あかつきはかり−うきものはなし
010,00214,いかにせむ−こぬよあまたの−ほとときす−またしとおもへは−むらさめのそら,たのめつつ−こぬよあまたに−なりぬれは−またしとおもふそ−まつにまされる
010,00215,こゑはして−くもちにむせふ−ほとときす−なみたやそそく−よひのむらさめ,こゑはして−なみたはみえぬ−ほとときす−わかころもての−ひつをからなむ
010,00216,ほとときす−なほうとまれぬ−こころかな−なかなくさとの−よそのゆふくれ,ほとときす−なかなくさとの−あまたあれは−なほうとまれぬ−おもふものから
010,00220,うちしめり−あやめそかをる−ほとときす−なくやさつきの−あめのゆふくれ,ほとときす−なくやさつきの−あやめくさ−あやめもしらぬ−こひもするかな
010,00229,まこもかる−よとのさはみつ−ふかけれと−そこまてつきの−かけはすみけり,まこもかる−よとのさはみつ−あめふれは−つねよりことに−まさるわかこひ
010,00232,たまほこの−みちゆくひとの−ことつても−たえてほとふる−さみたれのそら,こひしなは−こひもしねとか−たまほこの−みちゆきひとに−ことつてもなし
010,00238,たれかまた−はなたちはなに−おもひいてむ−われもむかしの−ひととなりなは,さつきまつ−はなたちはなの−かをかけは−むかしのひとの−そてのかそする
010,00240,かへりこぬ−むかしをいまと−おもひねの−ゆめのまくらに−にほふたちはな,いにしへの−しつのをたまき−くりかへし−むかしをいまに−なすよしもかな
010,00242,さつきやみ−みしかきよはの−うたたねに−はなたちはなの−そてにすすしき,さつきまつ−はなたちはなの−かをかけは−むかしのひとの−そてのかそする
010,00243,たつぬへき−ひとはのきはの−ふるさとに−それかとかをる−にはのたちはな,さつきまつ−はなたちはなの−かをかけは−むかしのひとの−そてのかそする
010,00244,ほとときす−はなたちはなの−かをとめて−なくはむかしの−ひとやこひしき,さつきまつ−はなたちはなの−かをかけは−むかしのひとの−そてのかそする
010,01983,ほとときす−はなたちはなの−かはかりに−なくやむかしの−なこりなるらむ,さつきまつ−はなたちはなの−かをかけは−むかしのひとの−そてのかそする
010,00245,たちはなの−にほふあたりの−うたたねは−ゆめもむかしの−そてのかそする,さつきまつ−はなたちはなの−かをかけは−むかしのひとの−そてのかそする
010,00246,ことしより−はなさきそむる−たちはなの−いかてむかしの−かににほふらむ,ことしより−はるしりそむる−さくらはな−ちるといふことは−ならはさらなむ
010,00247,ゆふくれは−いつれのくもの−なこりとて−はなたちはなに−かせのふくらむ,みしひとの−けふりをくもと−なかむれは−ゆふへのそらも−むつましきかな
010,00247,ゆふくれは−いつれのくもの−なこりとて−はなたちはなに−かせのふくらむ,さみたれの−そらなつかしく−にほふかな−はなたちはなに−かせやふくらむ
010,00254,ひさかたの−なかなるかはの−うかひふね−いかにちきりて−やみをまつらむ,ひさかたの−うちにおひたる−さとなれは−ひかりをのみそ−たのむへらなる
010,00255,いさりひの−むかしのひかり−ほのみえて−あしやのさとに−とふほたるかな,はるるよの−ほしかかはへの−ほたるかも−わかすむかたに−あまのたくひか
010,00257,まとちかき−いささむらたけ−かせふけは−あきにおとろく−なつのよのゆめ,あききぬと−めにはさやかに−みえねとも−かせのおとにそ−おとろかれぬる
010,00258,むすふてに−かけみたれゆく−やまのゐの−あかてもつきの−かたふきにける,むすふての−しつくににこる−やまのゐの−あかてもひとに−わかれぬるかな
010,00258,むすふてに−かけみたれゆく−やまのゐの−あかてもつきの−かたふきにける,古今集仮名序#061,万葉集・武田訓,万葉集・武田訓　巻十六,3807,あさかやま−かけさへみゆる−やまのゐの−あさきこころを−わかおもはなくに
010,00261,すすしさは−あきやかへりて−はつせかは−ふるかはのへの−すきのしたかけ,はつせかは−ふるかはのへに−ふたもとあるすき−としをへて−またもあひみむ−ふたもとあるすき
010,00269,ゆふつくひ−さすやいほりの−しはのとに−さひしくもあるか−ひくらしのこゑ,ひくらしの−こゑはかりする−しはのとは−いりひのさすに−まかせてそみる
010,00275,しらつゆの−たまもてゆへる−ませのうちに−ひかりさへそふ−とこなつのはな,こころあてに−それかとそみる−しらつゆの−ひかりそへたる−ゆふかほのはな
010,00276,しらつゆの−なさけおきける−ことのはや−ほのほのみえし−ゆふかほのはな,よりてこそ−それかともみめ−たそかれに−ほのほのみつる−はなのゆふかほ
010,00281,かたえさす−をふのうらなし−はつあきに−なりもならすも−かせそみにしむ,をふのうらに−かたえさしおほひ−なるなしの−なりもならすも−ねてかたらはむ
010,00282,なつころも−かたへすすしく−なりぬなり−よやふけぬらむ−ゆきあひのそら,なつとあきと−ゆきかふそらの−かよひちは−かたへすすしき−かせやふくらむ
010,00284,みそきする−かはのせみれは−からころも−ひもゆふくれに−なみそたちける,からころも−ひもゆふくれに−なるときは−かへすかへすそ−ひとはこひしき
010,00287,このねぬる−よのまにあきは−きにけらし−あさけのかせの−きのふにもにぬ,あきたちて−いくかもあらねと−このねぬる−あさけのかせは−たもとさむしも
010,00289,きのふたに−とはむとおもひし−つのくにの−いくたのもりに−あきはきにけり,きみすまは−とはましものを−つのくにの−いくたのもりの−あきのはつかせ
010,00295,しきたへの−まくらのうへに−すきぬなり−つゆをたつぬる−あきのはつかせ,しきたへの−まくらのしたに−うみはあれと−ひとをみるめは−おひすそありける
010,00296,みつくきの−をかのくすはも−いろつきて−けさうらかなし−あきのはつかせ,かりかねの−さむくなきしゆ−みつくきの−をかのくすはは−いろつきにけり
010,00297,あきはたた−こころよりおく−ゆふつゆを−そてのほかとも−おもひけるかな,われならぬ−くさはもものは−おもひけり−そてよりほかに−おけるしらつゆ
010,00301,みしふつき−うゑしやまたに−ひたはへて−またそてぬらす−あきはきにけり,ころもてに−みつふつくまて−うゑしたを−ひきたわかはへ−まもれるくるし
010,00307,ひをへつつ−おとこそまされ−いつみなる−しのたのもりの−ちえのあきかせ,いつみなる−しのたのもりの−くすのはの−ちえにわかれて−ものをこそおもへ
010,00316,そてひちて−わかてにむすふ−みつのおもに−あまつほしあひの−そらをみるかな,そてひちて−むすひしみつの−こほれるを−はるたつけふの−かせやとくらむ
010,00319,たなはたの−ころものつまは−こころして−ふきなかへしそ−あきのはつかせ,わかせこか−ころものすそを−ふきかへし−うらめつらしき−あきのはつかせ
010,00320,たなはたの−とわたるふねの−かちのはに−いくあきかきつ−つゆのたまつさ,あまのかは−とわたるふねの−かちのはに−おもふことをも−かきつくるかな
010,00323,ほしあひの−ゆふへすすしき−あまのかは−もみちのはしを−わたるあきかせ,あまのかは−もみちをはしに−わたせはや−たなはたつめの−あきをしもまつ
010,00329,かりころも−われとはすらし−つゆしけき−のはらのはきの−はなにまかせて,わかころも−すれるにはあらす−たかまつの−のをゆくしかは−はきのすれるそ
010,00330,あきはきを−をらてはすきし−つきくさの−はなすりころも−つゆにぬるとも,つきくさに−ころもはすらむ−あさつゆに−ぬれてののちは−うつろひぬとも
010,00331,はきかはな−まそてにかけて−たかまとの−をのへのみやに−ひれふるやたれ,みやひとの−そてつけころも−あきはきに−にほこよろしき−たかまとのみや
010,00335,あきののを−わけゆくつゆに−うつりつつ−わかころもては−はなのかそする,あきののの−はなのいろいろ−とりすゑて−わかころもてに−うつしてしかな
010,00338,ゆふされは−たまちるのへの−をみなへし−まくらさためぬ−あきかせそふく,ゆふされは−わかみのみこそ−かなしけれ−いつれのかたに−まくらさためむ
010,00339,ふちはかま−ぬしはたれとも−しらつゆの−こほれてにほふ−のへのあきかせ,ぬししらぬ−かこそにほへれ−あきののに−たかぬきかけし−ふちはかまそも
010,00349,はなすすき−またつゆふかし−ほにいてては−なかめしとおもふ−あきのさかりを,いまよりは−うゑてたにみし−はなすすき−ほにいつるあきは−わひしかりけり
010,00349,はなすすき−またつゆふかし−ほにいてては−なかめしとおもふ−あきのさかりを,しのふれは−くるしかりけり−しのすすき−あきのさかりに−なりやしなまし
010,00364,たへてやは−おもひありとも−いかかせむ−むくらのやとの−あきのゆふくれ,おもひあらは−むくらのやとに−ねもしなむ−ひしきものには−そてをしつつも
010,00366,あきかせの−いたりいたらぬ−そてはあらし−たたわれからの−つゆのゆふくれ,はるのいろの−いたりいたらぬ−さとはあらし−さけるさかさる−はなのみゆらむ
010,00368,それなから−むかしにもあらぬ−あきかせに−いととなかめを−しつのをたまき,いにしへの−しつのをたまき−くりかへし−むかしをいまに−なすよしもかな
010,00369,ひくらしの−なくゆふくれそ−うかりける−いつもつきせぬ−おもひなれとも,こめやとは−おもふものから−ひくらしの−なくゆふくれは−たちまたれつつ
010,00371,あきかせの−よもにふきくる−おとはやま−なにのくさきか−のとけかるへき,あきかせの−ふきにしひより−おとはやま−みねのこすゑも−いろつきにけり
010,00374,ふかくさの−さとのつきかけ−さひしさも−すみこしままの−のへのあきかせ,としをへて−すみこしさとを−いてていなは−いととふかくさ−のとやなりなむ
010,00375,おほあらきの−もりのこのまを−もりかねて−ひとたのめなる−あきのよのつき,ことならは−やみにそあらまし−あきのよの−なそつきかけの−ひとたのめなる
010,00380,なかめわひぬ−あきよりほかの−やともかな−のにもやまにも−つきやすむらむ,いつこにか−よをはいとはむ−こころこそ−のにもやまにも−まとふへらなれ
010,00381,つきかけの−はつあきかせと−ふけゆけは−こころつくしに−ものをこそおもへ,このまより−もりくるつきの−かけみれは−こころつくしの−あきはきにけり
010,00389,にほのうみや−つきのひかりの−うつろへは−なみのはなにも−あきはみえけり,くさもきも−いろかはれとも−わたつうみの−なみのはなにそ−あきなかりける
010,00391,ことわりの−あきにはあへぬ−なみたかな−つきのかつらも−かはるひかりに,ひさかたの−つきのかつらも−あきはなほ−もみちすれはや−てりまさるらむ
010,00393,ふるさとの−もとあらのこはき−さきしより−よなよなにはの−つきそうつろふ,みやきのの−もとあらのこはき−つゆをおもみ−かせをまつこと−きみをこそまて
010,00396,つきはなほ−もらぬこのまも−すみよしの−まつをつくして−あきかせそふく,このまより−もりくるつきの−かけみれは−こころつくしの−あきはきにけり
010,00397,なかむれは−ちちにものおもふ−つきにまた−わかみひとつの−みねのまつかせ,つきみれは−ちちにものこそ−かなしけれ−わかみひとつの−あきにはあらねと
010,00399,こころある−をしまのあまの−たもとかな−つきやとれとは−ぬれぬものから,まつしまの−をしまのいそに−あさりせし−あまのそてこそ−かくはぬれしか
010,00412,たつたやま−よはにあらしの−まつふけは−くもにはうとき−みねのつきかけ,かせふけは−おきつしらなみ−たつたやま−よはにやきみか−ひとりこゆらむ
